Algorithm,Run,Time (ms),R,Latitude,Longitude,ax,ay,az
Stokes_multithread,65,13.5171,6.92375e+06,-82.3342,17.7051,-1.05083,-0.33544,8.21892
Belikov,66,13.4063,6.13135e+06,-30.9042,-16.9145,-8.69921,2.64554,5.46177
Cunningham,66,13.3613,6.13135e+06,-30.9042,-16.9145,-8.69921,2.64555,5.46177
Stokes_1thread,66,13.3312,6.13135e+06,-30.9042,-16.9145,-8.69921,2.64554,5.46177
Stokes_multithread,66,13.4518,6.13135e+06,-30.9042,-16.9145,-8.69921,2.64554,5.46177
Belikov,67,13.4455,6.33294e+06,-41.7133,131.054,4.86261,-5.58337,6.62165
Cunningham,67,13.4272,6.33294e+06,-41.7133,131.054,4.86261,-5.58327,6.62165
Stokes_1thread,67,13.4193,6.33294e+06,-41.7133,131.054,4.86261,-5.58337,6.62165
Stokes_multithread,67,13.7439,6.33294e+06,-41.7133,131.054,4.86261,-5.58337,6.62165
Belikov,68,13.3374,6.46919e+06,33.1124,40.6462,-6.04826,-5.19268,-5.21544
Cunningham,68,13.4561,6.46919e+06,33.1124,40.6462,-6.04826,-5.19263,-5.21544
Stokes_1thread,68,13.3398,6.46919e+06,33.1124,40.6462,-6.04826,-5.19268,-5.21544
Stokes_multithread,68,13.463,6.46919e+06,33.1124,40.6462,-6.04826,-5.19268,-5.21544
Belikov,69,13.4281,6.00052e+06,38.6477,-149.16,7.41022,4.42461,-6.92676
Cunningham,69,13.5711,6.00052e+06,38.6477,-149.16,7.41022,4.42467,-6.92676
Stokes_1thread,69,13.4056,6.00052e+06,38.6477,-149.16,7.41022,4.42461,-6.92676
Stokes_multithread,69,13.4349,6.00052e+06,38.6477,-149.16,7.41022,4.42461,-6.92676
Belikov,70,13.4369,6.94751e+06,42.2483,80.9884,-0.95578,-6.02695,-5.55775
Cunningham,70,13.4117,6.94751e+06,42.2483,80.9884,-0.95578,-6.02693,-5.55775
Stokes_1thread,70,13.3911,6.94751e+06,42.2483,80.9884,-0.95578,-6.02695,-5.55775
Stokes_multithread,70,13.6025,6.94751e+06,42.2483,80.9884,-0.95578,-6.02695,-5.55775
